mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
KG MOBILITY GREAT WALL MOTOR,SSANGYONG KORANDO,1517.0,7.6,13578.0,3.1,2302.6315789473683,0.25
MERCEDES-BENZ AG,G 500,2481.0,14.9,76211.0,2.6,2275.1677852348994,0.25
MERCEDES-BENZ AG,VITO,1992.0,7.1,22624.0,3.1,2605.6338028169016,0.4
VOLKSWAGEN,TT COUPE,1370.0,7.3,27626.0,2.2,2260.27397260274,0.25
VOLKSWAGEN,718 CAYMAN GTS,1510.0,10.1,74281.0,2.1,2277.2277227722775,0.25
BMW,Z4 SDRIVE 20I,1525.0,7.2,36604.0,2.6,2263.8888888888887,0.25
MERCEDES-BENZ AG,E 400 D 4MATIC,1965.0,7.3,42526.0,2.7,2630.13698630137,0.4
BMW,220I,1505.0,6.3,21916.0,2.6,2285.714285714286,0.25
VOLKSWAGEN,RS3 LIMOUSINE,1650.0,9.0,51766.0,2.0,2255.5555555555557,0.25
VOLKSWAGEN,RS4 AVANT,1820.0,9.9,62069.0,2.2,2262.6262626262624,0.25
SUBARU-SUZUKI-TOYOTA,XV,1502.0,8.0,16559.0,2.8,2250.0,0.25
MERCEDES-BENZ AG,CLA 250,1545.0,7.3,25913.0,2.7,2287.6712328767126,0.25
BMW,X2 SDRIVE 18I,1505.0,6.3,32215.0,2.3,2285.714285714286,0.25
MERCEDES-BENZ AG,E 400 D 4 MATIC,2015.0,7.2,42526.0,2.4,2638.8888888888887,0.4
BMW,330I,1600.0,6.9,30316.0,2.3,2260.869565217391,0.25
SUBARU-SUZUKI-TOYOTA,TOYOTA GR YARIS,1355.0,8.2,10838.0,2.6,2268.2926829268295,0.25
VOLKSWAGEN,TT ROADSTER,1445.0,7.3,27626.0,2.9,2260.27397260274,0.25
MERCEDES-BENZ AG,GLB 250,1615.0,8.2,24265.0,2.3,2256.09756097561,0.25
VOLKSWAGEN,911 CARRERA,1650.0,10.5,108136.0,2.8,2266.6666666666665,0.25
VOLKSWAGEN,CAYENNE S,2235.0,12.8,71309.0,2.4,2265.625,0.25
BMW,330I XDRIVE,1735.0,7.7,30316.0,2.4,2259.7402597402597,0.25
