Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
STELLANTIS,DS 3,E,156.0,395.0,1625.0,616.2,1560.0,0.9,0.6410256410256411
BMW,I4 M50 XDRIVE GRAN COUPE G26 X,E,185.0,509.0,2290.0,941.65,1850.0,0.9,0.5405405405405406
BMW,IX1 EDRIVE20 U11 HB0,E,157.0,466.0,1940.0,731.62,1570.0,0.9,0.6369426751592356
FORD,MUSTANG MACH-E PREMIUM,E,173.0,600.0,2160.0,1038.0,1730.0,0.9,0.5780346820809249
RENAULT-NISSAN-MITSUBISHI,NISSAN LEAF 62KWH,E,178.0,396.0,1756.0,704.88,1780.0,0.9,0.5617977528089888
FORD,MUSTANG MACH-E AWD,E,195.0,400.0,2138.0,780.0,1950.0,0.9,0.5128205128205128
,HONDA E EV ADVANCE,E,178.0,210.0,1595.0,373.8,1780.0,0.9,0.5617977528089888
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW SHINE (SOLO STOCK),E,153.0,353.0,1636.0,540.09,1530.0,0.9,0.6535947712418301
STELLANTIS,NUEVO C4X ELECTRICO 100 KW SHINE,E,151.0,358.0,1659.0,540.58,1510.0,0.9,0.6622516556291391
STELLANTIS,CORSA-E GS BEV 50KWH 136 CV (100KW),E,155.0,361.0,1530.0,559.55,1550.0,0.9,0.6451612903225806
STELLANTIS,208 5P ALLURE PACK ELECTRICO 136 (100 KW),E,155.0,362.0,1530.0,561.1,1550.0,0.9,0.6451612903225806
STELLANTIS,CORSA-E EDITION-E  BEV 50KWH 136 CV (100KW),E,156.0,358.0,1530.0,558.48,1560.0,0.9,0.6410256410256411
STELLANTIS,E-RIFTER GT STANDARD 100 KW,E,201.0,275.0,1765.0,552.75,2010.0,0.9,0.4975124378109453
STELLANTIS,2008 ALLURE PACK ELECTRICO 136 (100 KW),E,159.0,341.0,1623.0,542.19,1590.0,0.9,0.6289308176100629
STELLANTIS,308 5P GT ELECTRICO 156 (115 KW),E,151.0,411.0,1759.0,620.61,1510.0,0.9,0.6622516556291391
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M SHINE,E,197.0,280.0,1739.0,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,CORSA-E ELEGANCE-E  BEV 50KWH 136 CV (100KW),E,155.0,361.0,1530.0,559.55,1550.0,0.9,0.6451612903225806
STELLANTIS,COMBO-E LIFE L ELEGANCE PLUS ELECTRICO 100KW / 136,E,197.0,280.0,1739.0,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,N2008 GT ELECTRICO 156 (115 KW),E,153.0,403.0,1623.0,616.59,1530.0,0.9,0.6535947712418301
STELLANTIS,2008 ACTIVE PACK ELECTRICO 136 (100 KW),E,158.0,336.0,1623.0,530.88,1580.0,0.9,0.6329113924050633
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL,E,152.0,355.0,1636.0,539.6,1520.0,0.9,0.6578947368421053
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW- 50KWH PLUS,E,152.0,348.0,1636.0,528.96,1520.0,0.9,0.6578947368421053
STELLANTIS,2008 GT ELECTRICO 136 (100 KW),E,159.0,340.0,1623.0,540.6,1590.0,0.9,0.6289308176100629
STELLANTIS,MOKKA ELECTRIC GS BEV 50KWH 136 CV (100KW),E,158.0,342.0,1598.0,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,208 5P ACTIVE PACK ELECTRICO 136 (100 KW),E,154.0,362.0,1530.0,557.48,1540.0,0.9,0.6493506493506493
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL PACK (SOLO STOCK),E,153.0,354.0,1636.0,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,MOKKA-E GS BEV 50KWH 136 CV (100KW),E,158.0,342.0,1598.0,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M SHINE (S,E,197.0,281.0,1739.0,553.57,1970.0,0.9,0.5076142131979695
STELLANTIS,E-TRAVELLER BUSINESS ELECTRICO 100 KW BATERY 75 K,E,266.0,317.0,2131.0,843.22,2660.0,0.9,0.37593984962406013
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA M LIVE PACK,E,198.0,280.0,1739.0,554.4,1980.0,0.9,0.5050505050505051
STELLANTIS,MOKKA-E BUSINESS ELEGANCE BEV 50KWH 136 CV (100KW),E,158.0,342.0,1598.0,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,E-RIFTER ACTIVE PACK STANDARD 100 KW,E,197.0,281.0,1765.0,553.57,1970.0,0.9,0.5076142131979695
STELLANTIS,NUEVO Ã‹-SPACETOURER TALLA M 75 KWH BUSINESS (SOLO,E,267.0,316.0,2131.0,843.72,2670.0,0.9,0.37453183520599254
STELLANTIS,208 5P GT ELECTRICO 136 (100 KW),E,159.0,352.0,1530.0,559.68,1590.0,0.9,0.6289308176100629
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M LIVE PAC,E,193.0,285.0,1739.0,550.05,1930.0,0.9,0.5181347150259067
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA XL LIVE PACK,E,201.0,276.0,1813.0,554.76,2010.0,0.9,0.4975124378109453
STELLANTIS,CORSA GS ELECTRIC 51KWH LONG RANGE 156 CV (115KW),E,145.0,397.0,1544.0,575.65,1450.0,0.9,0.6896551724137931
STELLANTIS,N208 5P STYLE ELECTRICO 136 (100 KW),E,155.0,361.0,1530.0,559.55,1550.0,0.9,0.6451612903225806
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL SHINE,E,199.0,278.0,1813.0,553.22,1990.0,0.9,0.5025125628140703
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA M SHINE,E,197.0,280.0,1739.0,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA M 75 KWH (SOLO STOCK),E,267.0,317.0,2131.0,846.39,2670.0,0.9,0.37453183520599254
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL PACK,E,153.0,354.0,1636.0,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW SHINE,E,153.0,353.0,1636.0,540.09,1530.0,0.9,0.6535947712418301
STELLANTIS,208 5P ACTIVE ELECTRICO 136 (100 KW),E,154.0,362.0,1530.0,557.48,1540.0,0.9,0.6493506493506493
STELLANTIS,E-RIFTER GT LONG 100 KW,E,210.0,266.0,1884.0,558.6,2100.0,0.9,0.47619047619047616
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL FEEL,E,197.0,280.0,1813.0,551.6,1970.0,0.9,0.5076142131979695
